# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
     0.05%  swapper          [kernel.kallsyms]                 [k] hrtimer_get_next_event
     0.05%  swapper          [kernel.kallsyms]                 [k] raw_notifier_call_chain
     0.05%  gnome-terminal-  libcairo.so.2.11800.0             [.] 0x00000000000c4415
     0.05%  swapper          [kernel.kallsyms]                 [k] handle_tx_event.isra.0
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000f901
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x0000000000027571
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x000000000019895e
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] memcpy_orig
     0.05%  swapper          [kernel.kallsyms]                 [k] record_times
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] native_irq_return_iret
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x0000000000028900
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] link_path_walk.part.0.constprop.0
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] mas_push_data
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] up_read
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] vma_interval_tree_remove
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x0000000000062f8d
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x0000000000008685
     0.05%  StreamTrans #24  [kernel.kallsyms]                 [k] perf_adjust_freq_unthr_context
     0.05%  Xorg             [kernel.kallsyms]                 [k] do_syscall_64
     0.05%  StreamTrans #24  [kernel.kallsyms]                 [k] num_to_str
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] percpu_counter_add_batch
     0.05%  Xorg             iris_dri.so                       [.] 0x00000000002b52b0
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] handle_mm_fault
     0.05%  tracker-miner-f  [kernel.kallsyms]                 [k] leftmatch_fb
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] file_close_fd_locked
